sector,subtopic,source_name,url
AI,Labs & Models,Countries/India: Deccan Chronicle - Latest India news | Breaking news | Hyderabad News | World news | Business,https://www.deccanchronicle.com/rss_feed/
AI,Labs & Models,Countries/India: TechGenyz,http://feeds.feedburner.com/techgenyz
AI,Labs & Models,"Countries/Philippines: TechPinas : Philippines' Technology News, Tips and Reviews Blog",http://feeds.feedburner.com/Techpinas
AI,Labs & Models,Countries/South Africa: TechCentral,https://techcentral.co.za/feed
Hamburg,Schlagzeilen & Brennpunkte,Countries/Germany: Aktuell - FAZ.NET,https://www.faz.net/rss/aktuell/
Hamburg,Schlagzeilen & Brennpunkte,Countries/Germany: Deutsche Welle,https://rss.dw.com/rdf/rss-en-all
Hamburg,Schlagzeilen & Brennpunkte,Countries/Germany: FOCUS Online,https://rss.focus.de/fol/XML/rss_folnews.xml
Hamburg,Schlagzeilen & Brennpunkte,Countries/Germany: tagesschau.de - Die Nachrichten der ARD,http://www.tagesschau.de/xml/rss2
Hamburg,Schlagzeilen & Brennpunkte,"Countries/Germany: ZEIT ONLINE | Nachrichten, Hintergründe und Debatten",http://newsfeed.zeit.de/index
Mallorca,Wirtschaft & Tourismus,Countries/Spain: Agencia EFE | www.efe.com | English edition,https://www.efe.com/efe/english/4/rss
Mallorca,Wirtschaft & Tourismus,Countries/Spain: EL PAÍS: el periódico global,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada
Mallorca,Wirtschaft & Tourismus,Countries/Spain: El Periódico - portada,https://www.elperiodico.com/es/rss/rss_portada.xml
Mallorca,Wirtschaft & Tourismus,Countries/Spain: ElDiario.es - ElDiario.es,https://www.eldiario.es/rss/
Mallorca,Wirtschaft & Tourismus,Countries/Spain: España,https://rss.elconfidencial.com/espana/
Mallorca,Wirtschaft & Tourismus,Countries/Spain: Euro Weekly News Spain,https://www.euroweeklynews.com/feed/
Mallorca,Wirtschaft & Tourismus,Countries/Spain: huffingtonpost.es,https://www.huffingtonpost.es/feeds/index.xml
Mallorca,Wirtschaft & Tourismus,Countries/Spain: Portada // expansion,https://e00-expansion.uecdn.es/rss/portada.xml
Mallorca,Wirtschaft & Tourismus,Countries/Spain: The Local,https://feeds.thelocal.com/rss/es
Politics,Global Power Moves,Countries/Australia: ABC News,https://www.abc.net.au/news/feed/1948/rss.xml
Politics,Global Power Moves,Countries/Australia: Brisbane Times - Latest News,https://www.brisbanetimes.com.au/rss/feed.xml
Politics,Global Power Moves,Countries/Australia: Business News - Latest Headlines,https://www.businessnews.com.au/rssfeed/latest.rss
Politics,Global Power Moves,Countries/Australia: Crikey,https://feeds.feedburner.com/com/rCTl
Politics,Global Power Moves,Countries/Australia: InDaily,https://indaily.com.au/feed/
Politics,Global Power Moves,Countries/Australia: Independent Australia,http://feeds.feedburner.com/IndependentAustralia
Politics,Global Power Moves,Countries/Australia: KUSA - News,http://rssfeeds.9news.com/kusa/home&x=1
Politics,Global Power Moves,Countries/Australia: Latest News and News Headlines | Daily Telegraph,https://www.dailytelegraph.com.au/news/breaking-news/rss
Politics,Global Power Moves,Countries/Australia: Latest News and News Headlines | Herald Sun,https://www.heraldsun.com.au/news/breaking-news/rss
Politics,Global Power Moves,Countries/Australia: Michael West,https://www.michaelwest.com.au/feed/
Politics,Global Power Moves,Countries/Australia: PerthNow,https://www.perthnow.com.au/news/feed
Politics,Global Power Moves,Countries/Australia: Sydney Morning Herald - Latest News,https://www.smh.com.au/rss/feed.xml
Politics,Global Power Moves,Countries/Australia: The Age - Latest News,https://www.theage.com.au/rss/feed.xml
Politics,Global Power Moves,Countries/Australia: The Canberra Times - Local News,https://www.canberratimes.com.au/rss.xml
Politics,Global Power Moves,Countries/Australia: The Courier Mail,https://www.couriermail.com.au/rss
Politics,Global Power Moves,Countries/Australia: The Mercury,https://www.themercury.com.au/rss
